,lh,rh,lift
0,"frozenset({'citrus fruit', 'whole milk', 'other vegetables'})","frozenset({'root vegetables', 'tropical fruit'})",11.506831219806765
1,frozenset({'Instant food products'}),frozenset({'hamburger meat'}),11.42143769597027
6,"frozenset({'citrus fruit', 'root vegetables', 'whole milk'})","frozenset({'other vegetables', 'tropical fruit'})",9.59663204280768
9,"frozenset({'root vegetables', 'whole milk', 'tropical fruit'})","frozenset({'citrus fruit', 'other vegetables'})",9.097785867748867
12,frozenset({'flour'}),frozenset({'sugar'}),8.46311223504206
13,"frozenset({'root vegetables', 'other vegetables', 'tropical fruit'})","frozenset({'citrus fruit', 'whole milk'})",8.399035812672176
18,"frozenset({'whole milk', 'other vegetables', 'tropical fruit'})","frozenset({'yogurt', 'root vegetables'})",8.066765091863516
21,"frozenset({'citrus fruit', 'root vegetables', 'tropical fruit'})","frozenset({'whole milk', 'other vegetables'})",7.397248641304349
22,"frozenset({'root vegetables', 'tropical fruit'})","frozenset({'citrus fruit', 'other vegetables'})",7.361026059740083
23,"frozenset({'citrus fruit', 'whole milk', 'tropical fruit'})","frozenset({'root vegetables', 'other vegetables'})",7.351232097217534
28,"frozenset({'citrus fruit', 'root vegetables', 'other vegetables'})","frozenset({'whole milk', 'tropical fruit'})",7.185261123680243
31,"frozenset({'citrus fruit', 'other vegetables', 'tropical fruit'})","frozenset({'root vegetables', 'whole milk'})",7.121983695017404
32,"frozenset({'butter', 'tropical fruit'})","frozenset({'yogurt', 'other vegetables'})",7.050853128136501
33,"frozenset({'citrus fruit', 'root vegetables'})","frozenset({'other vegetables', 'tropical fruit'})",7.045358340659697
40,"frozenset({'curd', 'tropical fruit'})","frozenset({'yogurt', 'whole milk'})",6.8923289788143975
41,"frozenset({'root vegetables', 'whole milk', 'tropical fruit'})","frozenset({'yogurt', 'other vegetables'})",6.8317588218949705
42,"frozenset({'yogurt', 'root vegetables', 'whole milk'})","frozenset({'other vegetables', 'tropical fruit'})",6.819172329087343
49,"frozenset({'yogurt', 'root vegetables', 'other vegetables'})","frozenset({'whole milk', 'tropical fruit'})",6.515464112658994
53,"frozenset({'butter', 'tropical fruit'})","frozenset({'yogurt', 'whole milk'})",6.010500388903292
54,"frozenset({'pip fruit', 'root vegetables'})","frozenset({'other vegetables', 'tropical fruit'})",6.009276231739155
56,frozenset({'processed cheese'}),frozenset({'white bread'}),5.975445303932901
59,"frozenset({'whipped/sour cream', 'tropical fruit'})","frozenset({'yogurt', 'other vegetables'})",5.927555448408871
60,"frozenset({'yogurt', 'other vegetables', 'tropical fruit'})","frozenset({'root vegetables', 'whole milk'})",5.914417278053642
62,"frozenset({'yogurt', 'root vegetables', 'tropical fruit'})","frozenset({'whole milk', 'other vegetables'})",5.846212635869565
64,"frozenset({'yogurt', 'butter'})","frozenset({'other vegetables', 'tropical fruit'})",5.8044145420207744
65,"frozenset({'citrus fruit', 'whole milk', 'other vegetables', 'tropical fruit'})",frozenset({'root vegetables'}),5.804237739872069
74,"frozenset({'onions', 'whole milk'})","frozenset({'root vegetables', 'other vegetables'})",5.675334511486998
76,"frozenset({'whipped/sour cream', 'tropical fruit'})","frozenset({'yogurt', 'whole milk'})",5.6435491619515314
80,"frozenset({'root vegetables', 'tropical fruit'})","frozenset({'yogurt', 'other vegetables'})",5.452205591193474
81,"frozenset({'whole milk', 'root vegetables', 'other vegetables', 'tropical fruit'})",frozenset({'citrus fruit'}),5.428284015240538
82,"frozenset({'curd', 'yogurt'})","frozenset({'whole milk', 'tropical fruit'})",5.423713235294119
83,"frozenset({'yogurt', 'butter'})","frozenset({'whole milk', 'tropical fruit'})",5.417918669871795
91,"frozenset({'whipped/sour cream', 'pip fruit'})","frozenset({'other vegetables', 'whole milk'})",5.286371237458194
96,frozenset({'liquor'}),frozenset({'bottled beer'}),5.240594013529793
99,frozenset({'herbs'}),"frozenset({'root vegetables', 'whole milk'})",5.23954002079002
101,"frozenset({'yogurt', 'root vegetables'})","frozenset({'whole milk', 'tropical fruit'})",5.212371290127195
102,"frozenset({'whipped/sour cream', 'butter'})","frozenset({'other vegetables', 'whole milk'})",5.21148097826087
103,"frozenset({'citrus fruit', 'whole milk', 'root vegetables', 'other vegetables'})",frozenset({'tropical fruit'}),5.183003535971713
104,"frozenset({'root vegetables', 'other vegetables', 'tropical fruit'})","frozenset({'yogurt', 'whole milk'})",5.163039402438841
108,"frozenset({'whipped/sour cream', 'tropical fruit'})","frozenset({'root vegetables', 'other vegetables'})",5.121102625599596
113,"frozenset({'berries', 'whole milk'})",frozenset({'whipped/sour cream'}),5.050990462215702
118,frozenset({'herbs'}),"frozenset({'root vegetables', 'other vegetables'})",5.012473175965666
121,"frozenset({'whipped/sour cream', 'yogurt'})","frozenset({'whole milk', 'tropical fruit'})",4.983326263197587
123,"frozenset({'yogurt', 'whole milk', 'tropical fruit'})","frozenset({'root vegetables', 'other vegetables'})",4.95758562087738
126,"frozenset({'herbs', 'whole milk'})",frozenset({'root vegetables'}),4.949369108405341
128,"frozenset({'yogurt', 'pip fruit'})","frozenset({'whole milk', 'tropical fruit'})",4.94207681442851
130,"frozenset({'yogurt', 'whole milk', 'tropical fruit'})",frozenset({'curd'}),4.912713253752754
132,"frozenset({'whipped/sour cream', 'whole milk', 'other vegetables'})",frozenset({'butter'}),4.887423547400612
135,"frozenset({'cream cheese', 'whole milk'})","frozenset({'yogurt', 'other vegetables'})",4.834041691965189
136,"frozenset({'root vegetables', 'tropical fruit'})","frozenset({'yogurt', 'whole milk'})",4.828813663343767
139,"frozenset({'whole milk', 'butter', 'other vegetables'})",frozenset({'whipped/sour cream'}),4.8147241574091515
143,"frozenset({'pip fruit', 'root vegetables'})","frozenset({'whole milk', 'tropical fruit'})",4.790174082453494
145,"frozenset({'whipped/sour cream', 'domestic eggs'})","frozenset({'other vegetables', 'whole milk'})",4.77241847826087
148,"frozenset({'citrus fruit', 'root vegetables'})","frozenset({'whole milk', 'tropical fruit'})",4.7555398983200705
150,"frozenset({'citrus fruit', 'tropical fruit'})","frozenset({'root vegetables', 'other vegetables'})",4.737890864500306
