,lh,rh,lift
0,"citrus fruit, whole milk, other vegetables","root vegetables, tropical fruit",11.506831219806765
1,Instant food products,hamburger meat,11.42143769597027
2,"citrus fruit, root vegetables, whole milk","tropical fruit, other vegetables",9.59663204280768
3,"root vegetables, tropical fruit, whole milk","citrus fruit, other vegetables",9.097785867748868
4,flour,sugar,8.46311223504206
5,"root vegetables, tropical fruit, other vegetables","citrus fruit, whole milk",8.399035812672176
6,"tropical fruit, other vegetables, whole milk","root vegetables, yogurt",8.066765091863516
7,"citrus fruit, root vegetables, tropical fruit","whole milk, other vegetables",7.397248641304349
8,"root vegetables, tropical fruit","citrus fruit, other vegetables",7.361026059740083
9,"citrus fruit, tropical fruit, whole milk","root vegetables, other vegetables",7.351232097217534
10,"citrus fruit, root vegetables, other vegetables","whole milk, tropical fruit",7.185261123680243
11,"citrus fruit, tropical fruit, other vegetables","root vegetables, whole milk",7.121983695017404
12,"butter, tropical fruit","yogurt, other vegetables",7.050853128136501
13,"citrus fruit, root vegetables","tropical fruit, other vegetables",7.045358340659697
14,"curd, tropical fruit","yogurt, whole milk",6.8923289788143975
15,"root vegetables, tropical fruit, whole milk","yogurt, other vegetables",6.8317588218949705
16,"root vegetables, yogurt, whole milk","tropical fruit, other vegetables",6.819172329087343
17,"root vegetables, yogurt, other vegetables","whole milk, tropical fruit",6.515464112658994
18,"butter, tropical fruit","yogurt, whole milk",6.010500388903292
19,"root vegetables, pip fruit","tropical fruit, other vegetables",6.009276231739155
20,processed cheese,white bread,5.975445303932901
21,"whipped/sour cream, tropical fruit","yogurt, other vegetables",5.927555448408871
22,"yogurt, tropical fruit, other vegetables","root vegetables, whole milk",5.914417278053642
23,"root vegetables, yogurt, tropical fruit","whole milk, other vegetables",5.846212635869565
24,"butter, yogurt","tropical fruit, other vegetables",5.8044145420207744
25,"citrus fruit, tropical fruit, other vegetables, whole milk",root vegetables,5.804237739872069
26,"onions, whole milk","root vegetables, other vegetables",5.675334511486998
27,"whipped/sour cream, tropical fruit","yogurt, whole milk",5.6435491619515314
28,"root vegetables, tropical fruit","yogurt, other vegetables",5.452205591193474
29,"root vegetables, tropical fruit, other vegetables, whole milk",citrus fruit,5.428284015240538
30,"curd, yogurt","tropical fruit, whole milk",5.423713235294119
31,"butter, yogurt","tropical fruit, whole milk",5.417918669871795
32,"whipped/sour cream, pip fruit","whole milk, other vegetables",5.286371237458194
33,liquor,bottled beer,5.240594013529793
34,herbs,"root vegetables, whole milk",5.23954002079002
35,"root vegetables, yogurt","tropical fruit, whole milk",5.212371290127195
36,"butter, whipped/sour cream","whole milk, other vegetables",5.21148097826087
